algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,elapsedTime,shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,9.94,256.0,584.0,250.0,250.0,7.0,-477761.4998466167
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,24.583,184.0,404.0,46.0,46.0,21.0,-472188.8690430014
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,17.799,171.0,376.0,54.0,54.0,17.0,-472085.3264764615
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,16.142,153.0,340.0,30.0,30.0,13.0,-471917.7670319943
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,12.653,177.0,378.0,54.0,54.0,11.0,-471762.70511614106
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,18.107,191.0,408.0,76.0,76.0,15.0,-472872.25918355415
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,16.349,239.0,524.0,130.0,130.0,10.0,-474789.99718788895
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,8.926,296.0,638.0,172.0,172.0,7.0,-476198.9234095464
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,11.087,258.0,566.0,108.0,108.0,9.0,-476161.6128065773
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,22.046,293.0,638.0,246.0,246.0,7.0,-5177385.126212496
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,12.084,181.0,402.0,62.0,62.0,18.0,-472487.8506219526
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,12.542,169.0,372.0,42.0,42.0,18.0,-472850.19147571496
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,10.386,136.0,294.0,0.0,0.0,17.0,-471898.35686223255
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,8.304,160.0,344.0,18.0,18.0,13.0,-470984.8189851061
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,7.848,160.0,342.0,24.0,24.0,12.0,-471399.41963858966
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,8.432,157.0,346.0,42.0,42.0,13.0,-471878.1647949719
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,9.964,153.0,338.0,28.0,28.0,15.0,-471400.10268448654
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,10.259,158.0,340.0,8.0,8.0,17.0,-471711.6303479586
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,9.766,177.0,384.0,34.0,34.0,13.0,-472819.8306990648
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,9.0,177.0,396.0,68.0,68.0,15.0,-472305.0927882494
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,11.602,179.0,388.0,34.0,34.0,20.0,-472129.9434281714
cges,andes,HierarchicalClustering,8,c2,NO_BROADCASTING,26.544,209.0,492.0,266.0,266.0,10.0,-5152589.529582494
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,22.118,200.0,448.0,66.0,66.0,13.0,-474090.8351340169
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,36.222,190.0,438.0,104.0,104.0,15.0,-473543.4284383656
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,13.386,295.0,772.0,434.0,434.0,9.0,-475584.541546053
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,15.839,220.0,502.0,124.0,124.0,11.0,-473520.63080814586
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,13.296,276.0,688.0,322.0,322.0,9.0,-474341.6317382341
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,12.807,263.0,630.0,292.0,292.0,10.0,-475065.54938601673
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,31.044,174.0,398.0,72.0,72.0,18.0,-473092.8372019068
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,15.969,242.0,562.0,180.0,180.0,12.0,-474026.0516378506
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,15.406,244.0,598.0,206.0,206.0,11.0,-474942.6370935732
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,18.831,211.0,480.0,132.0,132.0,15.0,-473933.7912228608
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,18.602,273.0,678.0,276.0,276.0,10.0,-475480.9597644312
cges,andes,HierarchicalClustering,8,c2,PAIR_BROADCASTING,44.428,431.0,1218.0,896.0,896.0,9.0,-5177590.268584495
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,425.956,898.0,1830.0,556.0,556.0,6.0,-1125675.1968383123
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,395.854,976.0,2038.0,696.0,696.0,5.0,-1150963.9822840565
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,432.864,962.0,1960.0,644.0,644.0,5.0,-1141799.6554619663
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,433.647,987.0,2024.0,692.0,692.0,6.0,-1143733.4141397867
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,411.215,967.0,1976.0,670.0,670.0,5.0,-1136835.048538122
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,449.934,952.0,1938.0,676.0,676.0,6.0,-1140464.417277376
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,419.503,979.0,1996.0,678.0,678.0,6.0,-1140026.121585102
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,414.244,929.0,1904.0,600.0,600.0,5.0,-1136673.9702109275
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,419.075,1005.0,2082.0,730.0,730.0,6.0,-1154964.9811219007
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,441.518,925.0,1866.0,582.0,582.0,6.0,-1129933.8504797688
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,426.775,921.0,1878.0,598.0,598.0,6.0,-1128579.9759764282
cges,link,HierarchicalClustering,1,c2,ALL_BROADCASTING,547.533,668.0,1368.0,436.0,436.0,5.0,-11847254.569155416
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,431.927,898.0,1830.0,556.0,556.0,6.0,-1125675.1968383123
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,428.397,976.0,2038.0,696.0,696.0,5.0,-1150963.9822840565
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,419.858,962.0,1960.0,644.0,644.0,5.0,-1141799.6554619663
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,455.116,987.0,2024.0,692.0,692.0,6.0,-1143733.4141397867
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,408.08,967.0,1976.0,670.0,670.0,5.0,-1136835.048538122
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,418.979,952.0,1938.0,676.0,676.0,6.0,-1140464.417277376
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,391.451,979.0,1996.0,678.0,678.0,6.0,-1140026.121585102
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,394.715,929.0,1904.0,600.0,600.0,5.0,-1136673.9702109275
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,417.286,1005.0,2082.0,730.0,730.0,6.0,-1154964.9811219007
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,426.167,925.0,1866.0,582.0,582.0,6.0,-1129933.8504797688
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,426.394,921.0,1878.0,598.0,598.0,6.0,-1128579.9759764282
cges,link,HierarchicalClustering,1,c2,NO_BROADCASTING,562.001,668.0,1368.0,436.0,436.0,5.0,-11847254.569155416
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,431.415,898.0,1830.0,556.0,556.0,6.0,-1125675.1968383123
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,416.324,976.0,2038.0,696.0,696.0,5.0,-1150963.9822840565
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,418.772,962.0,1960.0,644.0,644.0,5.0,-1141799.6554619668
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,427.146,987.0,2024.0,692.0,692.0,6.0,-1143733.4141397867
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,427.835,967.0,1976.0,670.0,670.0,5.0,-1136835.048538122
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,437.935,952.0,1938.0,676.0,676.0,6.0,-1140464.417277376
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,432.862,979.0,1996.0,678.0,678.0,6.0,-1140026.121585102
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,399.763,929.0,1904.0,600.0,600.0,5.0,-1136673.9702109275
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,429.837,1005.0,2082.0,730.0,730.0,6.0,-1154964.9811219007
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,425.568,925.0,1866.0,582.0,582.0,6.0,-1129933.8504797688
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,429.091,921.0,1878.0,598.0,598.0,6.0,-1128579.9759764282
cges,link,HierarchicalClustering,1,c2,PAIR_BROADCASTING,531.667,668.0,1368.0,436.0,436.0,5.0,-11847254.569155416
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,200.031,914.0,1872.0,658.0,658.0,7.0,-1129593.8972196584
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,213.912,842.0,1740.0,618.0,618.0,8.0,-1135744.384785927
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,216.42,960.0,1970.0,686.0,686.0,9.0,-1142476.9669801262
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,236.439,1001.0,2096.0,816.0,816.0,9.0,-1147766.7334185862
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,235.376,926.0,1900.0,692.0,692.0,8.0,-1137353.604559129
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,211.552,962.0,1976.0,722.0,722.0,7.0,-1148107.4703632612
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,243.519,939.0,1928.0,704.0,704.0,12.0,-1140964.9465083175
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,214.257,906.0,1864.0,614.0,614.0,10.0,-1136843.8289797066
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,206.019,966.0,2026.0,742.0,742.0,8.0,-1152470.3314360543
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,230.964,924.0,1878.0,638.0,638.0,9.0,-1130146.0045846105
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,225.611,865.0,1756.0,558.0,558.0,11.0,-1121240.147378301
cges,link,HierarchicalClustering,2,c2,ALL_BROADCASTING,324.181,711.0,1486.0,570.0,570.0,9.0,-11849592.27276519
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,194.701,914.0,1872.0,658.0,658.0,7.0,-1129593.8972196584
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,204.944,842.0,1740.0,618.0,618.0,8.0,-1135744.384785927
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,203.962,960.0,1970.0,686.0,686.0,9.0,-1142476.9669801262
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,230.145,1001.0,2096.0,816.0,816.0,9.0,-1147766.7334185862
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,223.068,926.0,1900.0,692.0,692.0,8.0,-1137353.604559129
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,194.644,962.0,1976.0,722.0,722.0,7.0,-1148107.4703632612
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,215.649,939.0,1928.0,704.0,704.0,12.0,-1140964.9465083175
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,196.3,906.0,1864.0,614.0,614.0,10.0,-1136843.8289797066
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,194.651,966.0,2026.0,742.0,742.0,8.0,-1152470.3314360543
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,196.816,924.0,1878.0,638.0,638.0,8.0,-1130146.0045846105
cges,link,HierarchicalClustering,2,c2,NO_BROADCASTING,220.026,865.0,1756.0,558.0,558.0,11.0,-1121240.147378301
