algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,seed,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,5,pigs08,29.256,6.0,16.0,16.0,16.0,15.0,-1677682.993093185
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,7,pigs08,30.902,0.0,0.0,0.0,0.0,16.0,-1677081.756972851
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,11,pigs08,30.117,4.0,16.0,16.0,16.0,14.0,-1677670.9703672628
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,13,pigs08,30.203,0.0,0.0,0.0,0.0,15.0,-1677131.0412160486
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,17,pigs08,36.215,4.0,16.0,16.0,16.0,19.0,-1677581.6727166255
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,19,pigs08,29.442,0.0,0.0,0.0,0.0,15.0,-1677313.6427238563
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,23,pigs08,31.546,4.0,16.0,16.0,16.0,16.0,-1677571.3760888828
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,29,pigs08,30.282,2.0,8.0,8.0,8.0,15.0,-1677438.3922076551
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,53,pigs00,27.272,12.0,42.0,40.0,40.0,12.0,-1675125.3028193868
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,31,pigs08,26.614,0.0,0.0,0.0,0.0,13.0,-1677159.1207555223
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,37,pigs08,35.814,0.0,0.0,0.0,0.0,18.0,-1677263.3065042272
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,41,pigs08,29.392,0.0,0.0,0.0,0.0,14.0,-1677159.2742520412
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,43,pigs08,29.828,4.0,14.0,14.0,14.0,15.0,-1677577.5006291738
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,47,pigs08,30.535,4.0,16.0,16.0,16.0,15.0,-1677493.592732228
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,53,pigs08,32.503,0.0,0.0,0.0,0.0,16.0,-1677321.4107834739
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,59,pigs08,29.313,2.0,10.0,10.0,10.0,15.0,-1677370.4506916427
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,61,pigs08,31.774,0.0,0.0,0.0,0.0,16.0,-1677232.808608799
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,67,pigs08,28.011,5.0,20.0,20.0,20.0,14.0,-1677551.4225269542
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,71,pigs08,30.276,2.0,8.0,8.0,8.0,15.0,-1677406.4507768922
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,59,pigs00,23.885,3.0,8.0,6.0,6.0,11.0,-1674338.7228742342
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,73,pigs08,26.796,0.0,0.0,0.0,0.0,13.0,-1677215.6622365853
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,79,pigs08,30.393,0.0,0.0,0.0,0.0,15.0,-1677416.6851813341
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,83,pigs08,31.196,0.0,0.0,0.0,0.0,16.0,-1677185.9322637285
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,89,pigs08,29.173,0.0,0.0,0.0,0.0,15.0,-1677078.1320872027
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,97,pigs08,25.785,0.0,0.0,0.0,0.0,12.0,-1677211.6811163924
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,101,pigs08,33.457,2.0,8.0,8.0,8.0,17.0,-1677410.8482485164
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,103,pigs08,30.151,0.0,0.0,0.0,0.0,15.0,-1677187.9081215435
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,107,pigs08,27.668,1.0,4.0,4.0,4.0,13.0,-1677282.7742437297
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,109,pigs08,30.208,0.0,0.0,0.0,0.0,15.0,-1677270.9376461064
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,113,pigs08,26.961,0.0,0.0,0.0,0.0,13.0,-1677186.77822631
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,61,pigs00,37.041,0.0,0.0,0.0,0.0,19.0,-1674050.9558034262
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,2,pigs09,74.329,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,3,pigs09,76.442,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,5,pigs09,76.774,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,7,pigs09,74.239,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,11,pigs09,68.68,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,13,pigs09,69.815,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,17,pigs09,72.911,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,19,pigs09,71.144,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,23,pigs09,70.683,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,29,pigs09,73.441,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,67,pigs00,31.889,0.0,0.0,0.0,0.0,16.0,-1674209.3723524753
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,31,pigs09,69.209,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,37,pigs09,75.315,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,41,pigs09,75.881,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,43,pigs09,78.378,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,47,pigs09,76.748,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,53,pigs09,70.522,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,59,pigs09,90.715,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,61,pigs09,71.519,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,67,pigs09,78.669,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,71,pigs09,74.9,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,8,c2,RANDOM_BROADCASTING,71,pigs00,30.729,5.0,16.0,16.0,16.0,15.0,-1674629.78516386
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,31,pigs00,87.424,0.0,0.0,0.0,0.0,4.0,-1673766.7635783982
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,73,pigs09,78.441,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,79,pigs09,75.364,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,RANDOM_BROADCASTING,83,pigs09,74.145,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
