algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes04,7.218,152.0,326.0,14.0,14.0,6.0,-471044.5395401737
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes05,8.033,148.0,320.0,12.0,12.0,7.0,-471871.7335928835
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes06,11.079,201.0,462.0,136.0,136.0,11.0,-472449.2061265302
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes07,8.155,270.0,582.0,130.0,130.0,4.0,-475195.3925300189
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes08,6.512,161.0,350.0,10.0,10.0,5.0,-472423.4253870968
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes09,8.021,167.0,372.0,42.0,42.0,8.0,-472505.4138264875
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes10,8.792,268.0,592.0,130.0,130.0,4.0,-474731.76677369815
cges,andes,HierarchicalClustering,2,c2,PAIR_BROADCASTING,andes_ALL,21.956,250.0,590.0,204.0,204.0,4.0,-5153735.469027237
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes00,12.433,180.0,392.0,48.0,48.0,14.0,-472932.90499656537
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes01,9.677,180.0,390.0,58.0,58.0,9.0,-472857.09307751333
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes02,12.059,171.0,368.0,18.0,18.0,14.0,-473158.5867368952
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes03,11.951,169.0,370.0,32.0,32.0,12.0,-471248.9844409154
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes04,8.299,241.0,556.0,152.0,152.0,7.0,-473460.8057889922
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes05,13.472,159.0,342.0,28.0,28.0,13.0,-474125.90719528426
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes06,13.302,170.0,388.0,82.0,82.0,15.0,-471882.3902410168
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes07,8.239,257.0,628.0,240.0,240.0,7.0,-474777.16886479623
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes08,11.455,209.0,446.0,46.0,46.0,10.0,-474035.0816719822
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes09,10.7,161.0,346.0,18.0,18.0,13.0,-472248.92801420833
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes10,13.348,171.0,370.0,28.0,28.0,11.0,-472192.25974001695
cges,andes,HierarchicalClustering,4,c2,ALL_BROADCASTING,andes_ALL,25.519,328.0,936.0,606.0,606.0,7.0,-5169841.371319356
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes00,7.812,174.0,374.0,28.0,28.0,12.0,-472303.53590765386
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes01,7.69,153.0,332.0,6.0,6.0,10.0,-472123.53621596174
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes02,6.664,149.0,322.0,4.0,4.0,8.0,-472064.64623823593
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes03,7.369,159.0,344.0,14.0,14.0,10.0,-471097.7762348505
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes04,6.328,170.0,368.0,48.0,48.0,8.0,-471193.88579983276
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes05,8.069,154.0,330.0,20.0,20.0,12.0,-471721.8613723275
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes06,7.79,145.0,314.0,14.0,14.0,10.0,-471313.44101688405
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes07,8.017,180.0,398.0,58.0,58.0,10.0,-472095.5687966837
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes08,7.269,166.0,360.0,12.0,12.0,9.0,-472587.6233006542
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes09,6.314,159.0,342.0,16.0,16.0,7.0,-471819.26560029073
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes10,7.633,172.0,376.0,32.0,32.0,11.0,-471985.8572643096
cges,andes,HierarchicalClustering,4,c2,NO_BROADCASTING,andes_ALL,22.235,225.0,704.0,600.0,600.0,7.0,-5138291.255824916
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes00,8.459,256.0,594.0,160.0,160.0,6.0,-475896.81990500155
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes01,15.998,230.0,496.0,42.0,42.0,12.0,-476985.54525873857
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes02,19.21,177.0,384.0,38.0,38.0,22.0,-473966.72162432986
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes03,16.244,225.0,502.0,116.0,116.0,10.0,-473758.2933435627
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes04,10.258,273.0,720.0,356.0,356.0,7.0,-475030.8595309159
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes05,10.248,281.0,680.0,336.0,336.0,7.0,-475648.2138968007
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes06,10.751,302.0,832.0,472.0,472.0,7.0,-475869.89774988405
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes07,9.105,247.0,574.0,152.0,152.0,7.0,-475194.67069020774
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes08,10.143,251.0,638.0,286.0,286.0,8.0,-475549.78778162017
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes09,30.405,181.0,404.0,62.0,62.0,20.0,-474168.83474352735
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes10,15.652,199.0,450.0,88.0,88.0,12.0,-473557.40430185455
cges,andes,HierarchicalClustering,4,c2,PAIR_BROADCASTING,andes_ALL,28.662,336.0,1072.0,770.0,770.0,7.0,-5151482.497034575
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes00,24.85,245.0,526.0,62.0,62.0,15.0,-474284.64841930236
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes01,10.033,232.0,540.0,164.0,164.0,9.0,-474844.56199268176
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes02,9.712,256.0,584.0,250.0,250.0,7.0,-477761.4998466167
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes03,25.02,184.0,404.0,46.0,46.0,21.0,-472188.8690430014
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes04,17.851,171.0,376.0,54.0,54.0,17.0,-472085.3264764615
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes05,15.833,153.0,340.0,30.0,30.0,13.0,-471917.7670319943
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes06,12.026,177.0,378.0,54.0,54.0,11.0,-471762.70511614106
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes07,17.964,191.0,408.0,76.0,76.0,15.0,-472872.25918355415
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes08,16.339,239.0,524.0,130.0,130.0,10.0,-474789.99718788895
cges,andes,HierarchicalClustering,8,c2,ALL_BROADCASTING,andes09,8.861,296.0,638.0,172.0,172.0,7.0,-476198.92340954643
