algName,netName,clusteringName,numberOfRealThreads,convergence,broadcasting,database,elapsedTime(s),shd,dfMM_avg,dfMM_plus,dfMM_minus,iterations,bdeu
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link04,168.248,840.0,1788.0,740.0,740.0,20.0,-1134550.6020024568
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link05,145.559,985.0,2056.0,852.0,852.0,16.0,-1148480.767332445
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link06,185.848,907.0,1974.0,872.0,872.0,22.0,-1126936.698476232
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link07,154.306,984.0,2104.0,844.0,844.0,17.0,-1137164.612495039
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link08,188.62,943.0,2062.0,862.0,862.0,27.0,-1146278.673750063
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link09,158.218,993.0,2120.0,930.0,930.0,18.0,-1132558.3835274288
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link10,163.116,883.0,1836.0,714.0,714.0,17.0,-1125560.706571306
cges,link,HierarchicalClustering,8,c2,BEST_BROADCASTING,link_ALL,747.401,708.0,1570.0,808.0,808.0,28.0,-1.1847182902943125E7
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin00,1830.201,1448.0,3196.0,800.0,800.0,5.0,-936178.1285512644
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin01,1567.189,1491.0,3254.0,992.0,992.0,5.0,-935259.5872905988
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin02,1676.622,1428.0,3182.0,742.0,742.0,4.0,-935244.7940789132
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin03,1570.658,1508.0,3238.0,1038.0,1038.0,10.0,-935664.4685436963
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin04,1809.888,1429.0,3018.0,774.0,774.0,5.0,-935418.2752962263
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin05,1609.885,1490.0,3302.0,978.0,978.0,7.0,-930370.6011137762
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin06,1827.034,1462.0,3254.0,742.0,742.0,4.0,-936946.1016853967
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin07,1685.268,1501.0,3308.0,1044.0,1044.0,7.0,-932914.7035732584
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin08,1700.36,1448.0,3174.0,802.0,802.0,4.0,-938029.7630333096
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin09,1642.658,1455.0,3234.0,754.0,754.0,4.0,-929379.1650159173
cges,munin,HierarchicalClustering,1,c2,BEST_BROADCASTING,munin10,1471.775,1416.0,3066.0,918.0,918.0,5.0,-932343.273151535
cges,munin,HierarchicalClustering,2,c2,BEST_BROADCASTING,munin00,
cges,munin,HierarchicalClustering,2,c2,BEST_BROADCASTING,munin01,1325.191,1513.0,3366.0,922.0,922.0,7.0,-937502.2925585891
cges,munin,HierarchicalClustering,2,c2,BEST_BROADCASTING,munin02,891.479,1513.0,3176.0,1024.0,1024.0,9.0,-936130.7113069225
cges,munin,HierarchicalClustering,2,c2,BEST_BROADCASTING,munin03,1197.044,1505.0,3322.0,1050.0,1050.0,8.0,-936576.1744566788
cges,munin,HierarchicalClustering,2,c2,BEST_BROADCASTING,munin04,905.477,1559.0,3466.0,1144.0,1144.0,7.0,-935668.6223181075
cges,munin,HierarchicalClustering,2,c2,BEST_BROADCASTING,munin07,
cges,munin,HierarchicalClustering,2,c2,BEST_BROADCASTING,munin08,935.091,1560.0,3382.0,1126.0,1126.0,8.0,-937507.9693328982
cges,munin,HierarchicalClustering,2,c2,BEST_BROADCASTING,munin09,1138.309,1514.0,3396.0,840.0,840.0,7.0,-933933.1138371719
cges,munin,HierarchicalClustering,4,c2,BEST_BROADCASTING,munin01,
cges,munin,HierarchicalClustering,4,c2,BEST_BROADCASTING,munin02,
cges,munin,HierarchicalClustering,4,c2,BEST_BROADCASTING,munin07,
cges,munin,HierarchicalClustering,4,c2,BEST_BROADCASTING,munin08,767.35,1587.0,3528.0,994.0,994.0,11.0,-943765.6635453082
cges,munin,HierarchicalClustering,4,c2,BEST_BROADCASTING,munin09,
cges,munin,HierarchicalClustering,4,c2,BEST_BROADCASTING,munin10,
cges,munin,HierarchicalClustering,8,c2,BEST_BROADCASTING,munin00,
cges,munin,HierarchicalClustering,8,c2,BEST_BROADCASTING,munin04,
cges,munin,HierarchicalClustering,8,c2,BEST_BROADCASTING,munin07,
cges,munin,HierarchicalClustering,8,c2,BEST_BROADCASTING,munin09,
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs00,73.172,0.0,0.0,0.0,0.0,4.0,-1673766.7635783982
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs01,70.099,0.0,0.0,0.0,0.0,4.0,-1672862.8337663016
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs02,71.026,0.0,0.0,0.0,0.0,4.0,-1674311.6987925328
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs03,71.988,0.0,0.0,0.0,0.0,4.0,-1675404.877764935
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs04,77.689,0.0,0.0,0.0,0.0,4.0,-1675946.8368636218
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs05,75.765,0.0,0.0,0.0,0.0,4.0,-1676267.3230144675
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs06,74.531,0.0,0.0,0.0,0.0,4.0,-1674789.5458293168
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs07,73.987,0.0,0.0,0.0,0.0,4.0,-1675064.0159439556
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs08,71.868,0.0,0.0,0.0,0.0,4.0,-1676948.5367278014
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs09,77.778,0.0,0.0,0.0,0.0,4.0,-1674822.4981279897
cges,pigs,HierarchicalClustering,1,c2,BEST_BROADCASTING,pigs10,79.095,0.0,0.0,0.0,0.0,4.0,-1674757.2366382969
